STORE,Urban_Rural,Market_Name,ST,Population,Asian_Pop,African_American_Pop,Hispanic_Pop,House_Holds,Median_Age,Median_Income,Median_Housing_Value,Total_Older_Vehicles,Total_Vehicles
266,U,Los Angeles,CA,49496,23478,1107,17675,17735,40.374715,50994.78619,533282.2994,23748,35068
267,U,Los Angeles,CA,50910,4998,1384,42064,12754,34.928269,43726.79623,337536.4297,,
268,U,Los Angeles,CA,68468,11050,634,53278,15569,36.519649,49636.52574,381374.164,39745.06027,52689.49241
269,U,Los Angeles,CA,20792,2224,424,16742,4833,37.435696,49986.66434,398633.4918,11623.43628,15696.37763
27,U,Bakersfield,CA,42812,4194,518,38447,10856,30.621244,27153.8513,163066.5307,27271.80404,34443.27129
270,U,Los Angeles,CA,44393,373,253,40962,9978,29.886209,26445.3146,374063.4144,23370,29944
271,U,Los Angeles,CA,35678,4316,517,11384,13749,40.83649,77421.98927,665425.0396,19209,28792
272,U,Los Angeles,CA,51355,5828,2096,35207,16015,34.114452,48289.68642,444551.369,29491.61117,39849.54062
273,U,Los Angeles,CA,53476,627,11699,40545,12027,31.462499,31713.00352,333792.1611,33079,41468
273,U,Los Angeles,CA,53476,627,11699,40545,12027,31.462499,31713.00352,333792.1611,33079,41468
274,U,Los Angeles,CA,27102,131,6162,19438,5752,29.982367,25569.61328,316377.1302,16025,20006
275,U,Los Angeles,CA,42258,6037,1186,25978,12060,38.405208,61950.30763,465542.3331,22630.341,31979.47304
276,U,Los Angeles,CA,15452,1216,443,11359,4054,34.649527,59002.75641,392956.6589,8215.855185,10948.80844
277,U,Los Angeles,CA,48135,400,353,43149,11357,30.420723,25348.63939,382320.2289,22995.58289,29934.1123
278,U,Los Angeles,CA,42196,4654,1585,18019,17035,37.198754,68346.49659,878527.683,18363,27614
279,U,Los Angeles,CA,22979,10375,968,6589,7812,41.558754,96502.70695,563655.1043,12210.88993,18922.50079
28,U,Los Angeles,CA,26052,517,3660,20118,6375,30.245897,22975.15101,167748.5427,17092.73298,21199.70585
280,U,Los Angeles,CA,42147,1575,2437,35593,11640,33.995096,51442.661,433846.436,23841.44347,32642.19006
281,U,Los Angeles,CA,32106,6240,623,14962,11886,41.002822,71214.614,686133.8577,16296,23616
282,U,Los Angeles,CA,40231,406,169,40768,10652,34.587487,26548.84616,381343.2086,23295,29852
283,U,Los Angeles,CA,27634,6544,845,11302,9638,40.139075,74132.16921,514505.6921,14064.61192,21580.21423
284,U,Los Angeles,CA,38308,2792,5425,,11690,35.824794,47166.1808,504806.9649,20430,27394
284,U,Los Angeles,CA,38308,2792,5425,,11690,35.824794,47166.1808,504806.9649,20430,27394
285,U,Los Angeles,CA,19028,841,3994,13537,6354,34.673734,-12,484246.9769,10594,13841
285,U,Los Angeles,CA,19028,841,3994,13537,6354,34.673734,-12,484246.9769,10594,13841
286,U,Los Angeles,CA,24237,2296,610,16321,7869,36.50054,49439.28605,607838.3542,11808,16334
287,U,Los Angeles,CA,33518,3281,2549,11800,15351,34.374046,59712.58586,545003.1299,16600,25324
288,U,Los Angeles,CA,26935,563,12963,10734,9582,34.027362,34881.86111,381014.3263,14161,18932
289,U,Los Angeles,CA,58834,884,7901,48026,15558,33.224615,28702.9552,401742.5345,31884.00941,40448.09005
29,U,Los Angeles,CA,32040,904,4843,23023,8740,28.057878,19491.40328,162738.0831,20632.4131,25256.11529
290,U,Los Angeles,CA,18345,1424,475,7009,6953,42.011207,85504.04192,485240.4266,10886.22599,15753.75403
291,U,Los Angeles,CA,28618,1406,2564,24167,6799,34.213845,44264.57611,339842.0046,17631,23376
292,U,Los Angeles,CA,29895,2472,1122,8912,9912,39.077675,84196.71681,564507.153,15562.02384,22726.55045
